"Уникальный код улицы";"Наименование улицы для поиска, сортировки";"Действующее на данный момент наименование улицы для документов";"Действующее наименование для документов, приведенное к написанию наименования по ОМК УМ, но с сокращениями географических терминов";"Короткое наименование улицы МосгорБТИ";"Наименование  улицы по ОМК УМ";"Код состояния наименования";"Признак действующего наименования (1 — да, 0 — нет)";"Территориальная принадлежность улицы (коды районов)";"Примечание";"Код документа, на основании которого произведен ввод наименования";"Номер документа, на основании которого произведен ввод наименования";"Дата документа, на основании которого произведен ввод наименования";"Стандартизованная дата документа, на основании которого произведен ввод наименования";"Код «родителей» (ретроспектива)";"Код «потомков» (перспектива)";"Код улицы как физического объекта";"Дата ввода в Базу данных";"Основное наименование (без типа топонима)";"Код типа топонима";"Признак принадлежности к ОМК УМ";"Признак удаления";"Состояние наименования  улицы";"Документ, на основании которого произведен ввод наименования";"Наименование типа топонима";"Состояние подписи";
"3468";"Михайловский Верхн.Поперечный пр.";"Михайловский Верхн.Поперечный пр.";"Верхний Михайловский Поперечный пр.";"Михайлов.Верх.Попереч.пр.";"Верхний Михайловский Поперечный проезд";"1";"1";"509";"";"3";"";"1924 г.";"01.01.1924 00:00:00";"";"";"15905";"31.01.1995 00:00:00";"Верхний Михайловский Поперечный";"3";"1";"0";"действующее наи";"архивные данные";"пр.";"Запись не подписана";
"3494";"Мкр.11-й Зеленоград";"Мкр.11-й Зеленоград";"Зеленоград, 11-й микрорайон";"Мкр.11-й Зеленоград";"11-й Микрорайон";"1";"1";"1011";"";"9";"";"";"";"";"";"15685";"01.11.1980 00:00:00";"11-й Микрорайон";"16";"1";"0";"действующее наи";"нет данных";"мкр.";"Запись не подписана";
"3501";"Могильцевский Б. пер.";"Могильцевский Б. пер.";"Большой Могильцевский пер.";"Могильцевский Б. пер.";"Большой Могильцевский переулок";"1";"1";"115";"";"3";"";"07.06.1922";"07.06.1922 00:00:00";"";"";"16050";"01.11.1980 00:00:00";"Большой Могильцевский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"3522";"Монетчиковский 3-й пер.";"Монетчиковский 3-й пер.";"3-й Монетчиковский пер.";"Монетчиковский 3-й пер.";"3-й Монетчиковский переулок";"1";"1";"103";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"16222";"06.08.1992 00:00:00";"3-й Монетчиковский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"3524";"Монетчиковский 5-й пер.";"Монетчиковский 5-й пер.";"5-й Монетчиковский пер.";"Монетчиковский 5-й пер.";"5-й Монетчиковский переулок";"1";"1";"103";"";"3";"";"до 1917 г.";"31.12.1916 00:00:00";"";"";"16250";"06.08.1992 00:00:00";"5-й Монетчиковский";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"3529";"Моршанская ул.";"Моршанская ул.";"Моршанская ул.";"Моршанская ул.";"Моршанская улица";"1";"1";"401";"";"1";"№ 39-ПП";"17.01.1995";"17.01.1995 00:00:00";"";"";"16293";"31.01.1995 00:00:00";"Моршанская";"1";"1";"0";"действующее наи";"Пост-ие Прав-ва";"ул.";"Запись не подписана";
"3532";"Москворецкая ул. (пос.Рублево)";"Москворецкая ул. (пос.Рублево)";"пос.Рублёво, Москворецкая ул.";"Москворецкая ул.(Рублево)";"Москворецкая улица";"1";"1";"707";"";"3";"";"1946 г.";"01.01.1946 00:00:00";"";"";"16340";"01.11.1980 00:00:00";"Москворецкая";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
"4738";"Песчаная пл.";"Песчаная пл.";"Песчаная пл.";"Песчаная пл.";"Песчаная площадь";"1";"1";"925";"";"3";"";"17.11.1948";"17.11.1948 00:00:00";"";"";"20380";"01.11.1980 00:00:00";"Песчаная";"4";"1";"0";"действующее наи";"архивные данные";"пл.";"Запись не подписана";
"4742";"Песчаный пер.";"Песчаный пер.";"Песчаный пер.";"Песчаный пер.";"Песчаный переулок";"1";"1";"925";"";"3";"";"17.10.1986";"17.10.1986 00:00:00";"";"";"20430";"04.11.1986 00:00:00";"Песчаный";"2";"1";"0";"действующее наи";"архивные данные";"пер.";"Запись не подписана";
"4760";"Пехотная ул.";"Пехотная ул.";"Пехотная ул.";"Пехотная ул.";"Пехотная улица";"1";"1";"813";"";"3";"";"07.06.1922";"07.06.1922 00:00:00";"";"";"20580";"01.11.1980 00:00:00";"Пехотная";"1";"1";"0";"действующее наи";"архивные данные";"ул.";"Запись не подписана";
